model,material,numSamples,epsilon,loss,max_iter,penalty,Accuracy,F1,Precision,Recall,mean_fit_time,std_fit_time,mean_score_time,std_score_time
StochasticGradientDescent,iron,240,0.01,squared_hinge,500,l1,0.8588200059898174,0.8588200059898174,0.8588200059898174,0.8588200059898174,63.73102512359619,18.73635559749014,0.15220608711242675,0.006983864953812611
StochasticGradientDescent,iron,240,0.01,squared_hinge,500,elasticnet,0.8189278227014076,0.8189278227014076,0.8189278227014076,0.8189278227014076,62.359725046157834,13.425445738035336,0.1591188430786133,0.011198082239187118
StochasticGradientDescent,iron,240,0.01,squared_hinge,600,l2,0.794219826295298,0.794219826295298,0.794219826295298,0.794219826295298,41.804679775238036,3.6773219491598406,0.1651287078857422,0.01324201827710556
StochasticGradientDescent,iron,240,0.01,squared_hinge,600,l1,0.8617250673854446,0.8617250673854446,0.8617250673854446,0.8617250673854446,61.66101474761963,22.450874659551694,0.15497045516967772,0.006684344904594903
StochasticGradientDescent,iron,240,0.01,squared_hinge,600,elasticnet,0.8046421084156933,0.8046421084156933,0.8046421084156933,0.8046421084156933,63.49652853012085,2.6921389477731568,0.17295708656311035,0.01027562007932615
StochasticGradientDescent,iron,240,0.01,squared_hinge,700,l2,0.8184785864031147,0.8184785864031147,0.8184785864031147,0.8184785864031147,33.23777208328247,5.5672490322374,0.1676412582397461,0.02112510680779076
StochasticGradientDescent,iron,240,0.01,squared_hinge,700,l1,0.8582809224318659,0.8582809224318659,0.8582809224318659,0.8582809224318659,68.92224521636963,23.623308460108607,0.1561814308166504,0.00672435148237775
StochasticGradientDescent,iron,240,0.01,squared_hinge,700,elasticnet,0.8109913147648997,0.8109913147648997,0.8109913147648997,0.8109913147648997,57.56979522705078,9.728248203285562,0.1706692695617676,0.017271123000306702
StochasticGradientDescent,iron,240,0.01,squared_hinge,800,l2,0.8029350104821804,0.8029350104821804,0.8029350104821804,0.8029350104821804,45.87830762863159,2.554398481200932,0.16197805404663085,0.013677681991936825
StochasticGradientDescent,iron,240,0.01,squared_hinge,800,l1,0.8605570530098833,0.8605570530098833,0.8605570530098833,0.8605570530098833,72.09215660095215,20.67622418447472,0.16684308052062988,0.00967086483550633
StochasticGradientDescent,iron,240,0.01,squared_hinge,800,elasticnet,0.8053009883198563,0.8053009883198563,0.8053009883198563,0.8053009883198563,60.59414167404175,11.074098882228812,0.16201143264770507,0.01133702599360145
