model,material,numSamples,algorithm,metric,n_neighbors,weights,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
KNearestNeighbors,iron,240,auto,minkowski,24,distance,0.993590895477688,0.993590895477688,0.993590895477688,0.993590895477688,0.9999400697241343,0.2570167541503906,0.03317801017948882,20.455126571655274,0.1813302169728773
KNearestNeighbors,iron,240,auto,minkowski,27,uniform,0.9752021563342319,0.9752021563342319,0.9752021563342319,0.9752021563342319,0.9992513195384468,0.27763962745666504,0.03860645161745809,20.600442028045656,0.22462245255257995
KNearestNeighbors,iron,240,auto,minkowski,27,distance,0.9927223719676549,0.9927223719676549,0.9927223719676549,0.9927223719676549,0.9999348428490409,0.24543747901916504,0.05336353198311422,20.992054986953736,0.23642056065746617
KNearestNeighbors,iron,240,auto,minkowski,30,uniform,0.9707696915244085,0.9707696915244085,0.9707696915244085,0.9707696915244085,0.999095515782313,0.28833942413330077,0.03943546741742134,20.658989477157593,0.19194093458707553
KNearestNeighbors,iron,240,auto,minkowski,30,distance,0.9916142557651991,0.9916142557651991,0.9916142557651991,0.9916142557651991,0.9999266245720619,0.2819932460784912,0.03814830313883618,19.80830388069153,0.5768727880839611
KNearestNeighbors,iron,240,auto,euclidean,3,uniform,0.9982030548068284,0.9982030548068284,0.9982030548068284,0.9982030548068284,0.9997799155950491,0.2973043441772461,0.07317408227483657,22.04949641227722,0.31676793258117286
KNearestNeighbors,iron,240,auto,euclidean,3,distance,0.9991913746630727,0.9991913746630727,0.9991913746630727,0.9991913746630727,0.9997822354830725,0.29233269691467284,0.077776897559663,19.87055082321167,0.28268689134958624
KNearestNeighbors,iron,240,auto,euclidean,6,uniform,0.994848757112908,0.994848757112908,0.994848757112908,0.994848757112908,0.9998424532744175,0.3470426082611084,0.10307649818346515,21.844365549087524,0.5208245632319326
KNearestNeighbors,iron,240,auto,euclidean,6,distance,0.9986522911051212,0.9986522911051212,0.9986522911051212,0.9986522911051212,0.9998566248985463,0.25767035484313966,0.0490767016714805,19.518777322769164,0.14230644624147262
KNearestNeighbors,iron,240,auto,euclidean,9,uniform,0.9920335429769391,0.9920335429769391,0.9920335429769391,0.9920335429769391,0.9998025863094098,0.32400903701782224,0.04601787072217281,21.656496477127074,0.5749310795426243
KNearestNeighbors,iron,240,auto,euclidean,9,distance,0.9978436657681942,0.9978436657681942,0.9978436657681942,0.9978436657681942,0.9998581224701166,0.3337384223937988,0.04462300660201321,19.46508526802063,0.3717287407477771
KNearestNeighbors,iron,240,auto,euclidean,12,uniform,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9997612136742429,0.27747354507446287,0.040243048124478056,22.10309233665466,0.5255206928090362
KNearestNeighbors,iron,240,auto,euclidean,12,distance,0.9976340221623239,0.9976340221623239,0.9976340221623239,0.9976340221623239,0.999893160497581,0.2968423843383789,0.041702842196893575,19.608939456939698,0.3103294958655272
KNearestNeighbors,iron,240,auto,euclidean,15,uniform,0.985684336627733,0.985684336627733,0.985684336627733,0.985684336627733,0.9997041119586841,0.288636302947998,0.046762534219161954,22.59162845611572,0.658921345937521
KNearestNeighbors,iron,240,auto,euclidean,15,distance,0.9967954477388441,0.9967954477388441,0.9967954477388441,0.9967954477388441,0.9999273757420539,0.264201021194458,0.033823091312468107,20.271811771392823,0.25234959286687103
KNearestNeighbors,iron,240,auto,euclidean,18,uniform,0.9820904462413896,0.9820904462413896,0.9820904462413896,0.9820904462413896,0.9996182653698806,0.31238670349121095,0.1115820329256935,22.68833107948303,0.6489791438006867
KNearestNeighbors,iron,240,auto,euclidean,18,distance,0.9961964660077868,0.9961964660077868,0.9961964660077868,0.9961964660077868,0.9999517424593014,0.35143246650695803,0.030968042683076544,20.226380157470704,0.2284391865195692
KNearestNeighbors,iron,240,auto,euclidean,21,uniform,0.979874213836478,0.979874213836478,0.979874213836478,0.979874213836478,0.9995001293233621,0.3134521484375,0.031333923083908054,22.69481153488159,0.40856347628184064
