model,material,numSamples,algorithm,metric,n_neighbors,weights,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
KNearestNeighbors,iron,120,ball_tree,chebyshev,18,uniform,0.9474693021862833,0.9474693021862833,0.9474693021862833,0.9474693021862833,0.9961674751310442,1.4546937942504883,0.026185826786208052,69.37623009681701,1.042882128027469
KNearestNeighbors,iron,120,ball_tree,chebyshev,18,distance,0.9770889487870621,0.9770889487870621,0.9770889487870621,0.9770889487870621,0.9988069336554904,1.4091367721557617,0.10113997524414566,67.75522594451904,1.2096738830046192
KNearestNeighbors,iron,120,ball_tree,chebyshev,21,uniform,0.9436657681940701,0.9436657681940701,0.9436657681940701,0.9436657681940701,0.9957237391110579,1.4668970584869385,0.08791700090963231,71.32074937820434,1.605534851529018
KNearestNeighbors,iron,120,ball_tree,chebyshev,21,distance,0.975381850853549,0.975381850853549,0.975381850853549,0.975381850853549,0.9987956672973329,1.4839255332946777,0.0712711380078658,69.91649904251099,1.3595812150502238
KNearestNeighbors,iron,120,ball_tree,chebyshev,24,uniform,0.9417190775681341,0.9417190775681341,0.9417190775681341,0.9417190775681341,0.9953361299048632,1.4962400913238525,0.05451738789437513,72.30616674423217,1.3062204782614255
KNearestNeighbors,iron,120,ball_tree,chebyshev,24,distance,0.9737646001796945,0.9737646001796945,0.9737646001796945,0.9737646001796945,0.9988029221831101,1.506669044494629,0.07723640212951431,71.16764817237853,1.6414568282677806
KNearestNeighbors,iron,120,ball_tree,chebyshev,27,uniform,0.9379754417490267,0.9379754417490267,0.9379754417490267,0.9379754417490267,0.9949624220867431,1.4424224376678467,0.07008493458127212,74.85325574874878,0.6442677129545035
KNearestNeighbors,iron,120,ball_tree,chebyshev,27,distance,0.9716382150344414,0.9716382150344414,0.9716382150344414,0.9716382150344414,0.9988118133006205,1.4641857147216797,0.05053927035102883,70.78469161987304,1.4892126584523524
KNearestNeighbors,iron,120,ball_tree,chebyshev,30,uniform,0.933213536987122,0.933213536987122,0.933213536987122,0.933213536987122,0.9945499624082055,1.516035509109497,0.08055964639744607,73.71580767631531,1.111872062832983
KNearestNeighbors,iron,120,ball_tree,chebyshev,30,distance,0.9694519317160827,0.9694519317160827,0.9694519317160827,0.9694519317160827,0.9988293902983788,1.5795491695404054,0.10031531666321962,70.32527604103089,1.435621878496338
KNearestNeighbors,iron,120,kd_tree,minkowski,3,uniform,0.9935609463911351,0.9935609463911351,0.9935609463911351,0.9935609463911351,0.9986576859740218,1.451368522644043,0.035772009180327496,8.008519172668457,0.19252252320711186
KNearestNeighbors,iron,120,kd_tree,minkowski,3,distance,0.9952081461515425,0.9952081461515425,0.9952081461515425,0.9952081461515425,0.9986845010765606,1.4266536235809326,0.06989001441296272,6.547446441650391,0.1694118387512921
KNearestNeighbors,iron,120,kd_tree,minkowski,6,uniform,0.9880503144654089,0.9880503144654089,0.9880503144654089,0.9880503144654089,0.9990231017117346,1.4323053359985352,0.04258719890399673,9.930634927749633,0.3309713485350656
KNearestNeighbors,iron,120,kd_tree,minkowski,6,distance,0.9938903863432167,0.9938903863432167,0.9938903863432167,0.9938903863432167,0.9991284325248904,1.371369981765747,0.06447353642983754,8.603686237335205,0.22798591343288127
KNearestNeighbors,iron,120,kd_tree,minkowski,9,uniform,0.9829889188379755,0.9829889188379755,0.9829889188379755,0.9829889188379755,0.9990398218709624,1.3509562492370606,0.0620102538208428,10.89215087890625,0.1823525440938508
KNearestNeighbors,iron,120,kd_tree,minkowski,9,distance,0.9915543575920933,0.9915543575920933,0.9915543575920933,0.9915543575920933,0.9993084478944333,1.280721616744995,0.13238934236187874,9.639014339447021,0.15524109028566646
KNearestNeighbors,iron,120,kd_tree,minkowski,12,uniform,0.978796046720575,0.978796046720575,0.978796046720575,0.978796046720575,0.998960978121872,1.2810157775878905,0.03453246152531956,12.028900527954102,0.20004619110595037
KNearestNeighbors,iron,120,kd_tree,minkowski,12,distance,0.990356394129979,0.990356394129979,0.990356394129979,0.990356394129979,0.9994691201373849,1.2808265686035156,0.03787020893526595,10.678905153274536,0.28725278401956
KNearestNeighbors,iron,120,kd_tree,minkowski,15,uniform,0.9725067385444743,0.9725067385444743,0.9725067385444743,0.9725067385444743,0.9988715288884485,1.2536110877990723,0.03737901121827962,13.338189315795898,0.08948049654565587
KNearestNeighbors,iron,120,kd_tree,minkowski,15,distance,0.9882599580712788,0.9882599580712788,0.9882599580712788,0.9882599580712788,0.9996196921185643,1.2619594097137452,0.15928992279583018,11.611326217651367,0.17280228538729034
KNearestNeighbors,iron,120,kd_tree,minkowski,18,uniform,0.9678047319556752,0.9678047319556752,0.9678047319556752,0.9678047319556752,0.998631396774363,1.1442894458770752,0.13910885139519955,13.917381191253662,0.15997418700525895
KNearestNeighbors,iron,120,kd_tree,minkowski,18,distance,0.9864630128781071,0.9864630128781071,0.9864630128781071,0.9864630128781071,0.9996401463449758,1.2333119869232179,0.04894274326181393,12.82701392173767,0.3018249079645386
