model,material,numSamples,activation,alpha,hidden_layer_sizes,learning_rate,max_iter,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",adaptive,900,0.9053309374064092,0.9053309374064092,0.9053309374064092,0.9053309374064092,0.9884941234200373,119.29064235687255,30.70710252837627,0.39361138343811036,0.010737696818626718
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",adaptive,1000,0.9085354896675651,0.9085354896675651,0.9085354896675651,0.9085354896675651,0.9886674612709943,117.96966390609741,34.44367335155704,0.40780048370361327,0.02573045947125527
NeuralNetwork,iron,240,identity,0.001,"(100,)",constant,100,0.9025157232704404,0.9025157232704404,0.9025157232704404,0.9025157232704404,0.9874908514055963,77.17374348640442,1.1995412497673936,0.33829636573791505,0.00952085502419443
NeuralNetwork,iron,240,identity,0.001,"(100,)",constant,200,0.9230008984725966,0.9230008984725966,0.9230008984725966,0.9230008984725966,0.9903713756306158,123.96854701042176,19.70446130044487,0.3187530040740967,0.0328430334168703
NeuralNetwork,iron,240,identity,0.001,"(100,)",constant,300,0.9243486073674753,0.9243486073674753,0.9243486073674753,0.9243486073674753,0.9916158073139585,151.2186674594879,23.370687553523876,0.31337680816650393,0.016759321879584208
NeuralNetwork,iron,240,identity,0.001,"(100,)",constant,400,0.924618149146451,0.924618149146451,0.924618149146451,0.924618149146451,0.991438050598,147.6960787296295,20.282863481358596,0.31177349090576173,0.017890606083328837
NeuralNetwork,iron,240,identity,0.001,"(100,)",constant,500,0.9234501347708894,0.9234501347708894,0.9234501347708894,0.9234501347708894,0.9914827012841609,152.64106969833375,45.964733575373636,0.3127129554748535,0.00951820042903872
NeuralNetwork,iron,240,identity,0.001,"(100,)",constant,600,0.9255465708295898,0.9255465708295898,0.9255465708295898,0.9255465708295898,0.9915556212284526,155.14951457977295,21.292340320096297,0.32061328887939455,0.015841428405425545
NeuralNetwork,iron,240,identity,0.001,"(100,)",constant,700,0.9151542377957472,0.9151542377957472,0.9151542377957472,0.9151542377957472,0.9907258768579286,143.75521383285522,38.58487174251402,0.31473498344421386,0.021159183300644775
NeuralNetwork,iron,240,identity,0.001,"(100,)",constant,800,0.9224618149146451,0.9224618149146451,0.9224618149146451,0.9224618149146451,0.989800685871419,118.688938331604,22.624405520627764,0.3142372131347656,0.02053818238649504
NeuralNetwork,iron,240,identity,0.001,"(100,)",constant,900,0.9247079964061097,0.9247079964061097,0.9247079964061097,0.9247079964061097,0.99150803774183,149.84646234512329,17.753267500866126,0.30403647422790525,0.011107176554499061
NeuralNetwork,iron,240,identity,0.001,"(100,)",constant,1000,0.9099730458221025,0.9099730458221025,0.9099730458221025,0.9099730458221025,0.9908199566600004,138.4447871685028,16.742333907354958,0.3122261524200439,0.0062451336880239
NeuralNetwork,iron,240,identity,0.001,"(100,)",invscaling,100,0.9029050613956274,0.9029050613956274,0.9029050613956274,0.9029050613956274,0.9870568852360002,76.84535140991211,1.0528282147628734,0.326342248916626,0.020833754535983715
