model,material,numSamples,criterion,max_depth,n_estimators,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
RandomForest,iron,120,gini,101,201,0.9978436657681942,0.9978436657681942,0.9978436657681942,0.9978436657681942,0.9999873565504849,46.45009717941284,0.3755852640614955,0.6951385498046875,0.03838310864769974
RandomForest,iron,120,gini,101,301,0.9979335130278525,0.9979335130278525,0.9979335130278525,0.9979335130278525,0.9999863850180171,69.21282119750977,0.7262103419411368,0.9532447814941406,0.08425960846324163
RandomForest,iron,120,gini,101,401,0.9979634621144055,0.9979634621144055,0.9979634621144055,0.9979634621144055,0.9999866957947956,91.37825632095337,1.6130665931635007,1.2081305503845214,0.04389639402128515
RandomForest,iron,120,gini,101,501,0.998083258460617,0.998083258460617,0.998083258460617,0.998083258460617,0.9999871970088574,115.0154746055603,0.9277709542707202,1.4875239849090576,0.09860083974534323
RandomForest,iron,120,gini,101,601,0.9979934112009584,0.9979934112009584,0.9979934112009584,0.9979934112009584,0.9999869957966657,140.29116830825805,0.5594848451992948,1.7594680786132812,0.02818576496306997
RandomForest,iron,120,gini,101,701,0.9981132075471699,0.9981132075471699,0.9981132075471699,0.9981132075471699,0.9999866345432646,161.83275365829468,1.0753352357391603,1.977561092376709,0.06294744307743828
RandomForest,iron,120,gini,101,801,0.9980233602875114,0.9980233602875114,0.9980233602875114,0.9980233602875114,0.9999871188254712,187.53278017044067,1.4538963160489562,2.313242864608765,0.07248525029748917
RandomForest,iron,120,gini,101,901,0.9981132075471699,0.9981132075471699,0.9981132075471699,0.9981132075471699,0.9999875419127979,209.60914368629454,2.7642325531706775,2.9134854316711425,0.36089056140945736
RandomForest,iron,120,gini,201,1,0.9721473495058401,0.9721473495058401,0.9721473495058401,0.9721473495058401,0.9825959549448136,0.31586384773254395,0.021881025152418573,0.19742913246154786,0.00620297539573198
RandomForest,iron,120,gini,201,101,0.9977837675950884,0.9977837675950884,0.9977837675950884,0.9977837675950884,0.9999851515882305,22.995408916473387,0.07467787457692386,0.4589410305023193,0.019456297566055335
RandomForest,iron,120,gini,201,201,0.9978137166816412,0.9978137166816412,0.9978137166816412,0.9978137166816412,0.9999865470258014,46.17725448608398,0.3892752897797207,0.6891567707061768,0.03710982911868676
RandomForest,iron,120,gini,201,301,0.9981431566337229,0.9981431566337229,0.9981431566337229,0.9981431566337229,0.9999870265402941,69.33999629020691,0.5348941143240733,1.031528615951538,0.05791261433758433
RandomForest,iron,120,gini,201,401,0.9979035639412996,0.9979035639412996,0.9979035639412996,0.9979035639412996,0.9999869646758702,93.06303977966309,0.39074737369538065,1.2264512062072754,0.11508775897188929
RandomForest,iron,120,gini,201,501,0.9980533093740641,0.9980533093740641,0.9980533093740641,0.9980533093740641,0.9999866989933667,114.77473163604736,0.9225281740067052,1.4396504402160644,0.03553290149641761
RandomForest,iron,120,gini,201,601,0.9979634621144055,0.9979634621144055,0.9979634621144055,0.9979634621144055,0.9999871975874832,137.48631324768067,1.2925545407113714,1.8188608646392823,0.06952360197124743
RandomForest,iron,120,gini,201,701,0.9980533093740641,0.9980533093740641,0.9980533093740641,0.9980533093740641,0.9999877214812847,160.93157353401185,1.58339274560466,2.2302809238433836,0.19732060288963366
RandomForest,iron,120,gini,201,801,0.9980233602875112,0.9980233602875112,0.9980233602875112,0.9980233602875112,0.9999873435168605,186.46722264289855,4.743674220654209,2.2722795963287354,0.10913760592112887
RandomForest,iron,120,gini,201,901,0.998083258460617,0.998083258460617,0.998083258460617,0.998083258460617,0.999987634619092,206.51464467048646,2.2062158527278948,2.58269362449646,0.10789145526238599
RandomForest,iron,120,gini,301,1,0.9742437855645403,0.9742437855645403,0.9742437855645403,0.9742437855645403,0.9839026729196518,0.3055980682373047,0.018194441278352746,0.20092368125915527,0.009705585282811163
RandomForest,iron,120,gini,301,101,0.9977837675950884,0.9977837675950884,0.9977837675950884,0.9977837675950884,0.9999848381758211,23.394388008117676,0.25246208668145237,0.46067633628845217,0.02189564020047364
