model,material,numSamples,algorithm,metric,n_neighbors,weights,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
KNearestNeighbors,copper,120,auto,manhattan,18,uniform,,,,,,0.5095294952392578,0.10731926644089204,0.17706995010375975,0.1739226731664898
KNearestNeighbors,copper,120,auto,manhattan,18,distance,0.9999330357142856,0.9999330357142856,0.9999330357142856,0.9999330357142856,1.0,0.478514289855957,0.11532291009141919,79.93736257553101,0.31060019119685833
KNearestNeighbors,copper,120,auto,manhattan,21,uniform,,,,,,0.4259496688842773,0.08952051325683338,0.2448564052581787,0.2464324924894395
KNearestNeighbors,copper,120,auto,manhattan,21,distance,0.9998437499999999,0.9998437499999999,0.9998437499999999,0.9998437499999999,0.9999999319811488,0.41243834495544435,0.12365523585057751,79.85825834274291,0.8410588891531183
KNearestNeighbors,copper,120,auto,manhattan,24,uniform,,,,,,0.5431470394134521,0.13506946438973585,0.3271015644073486,0.31273304244769273
KNearestNeighbors,copper,120,auto,manhattan,24,distance,0.9997991071428572,0.9997991071428572,0.9997991071428572,0.9997991071428572,0.9999999319811488,0.4281658172607422,0.1219730843489507,80.00416140556335,0.5467069296296571
KNearestNeighbors,copper,120,auto,manhattan,27,uniform,,,,,,0.44356727600097656,0.07318200488840196,0.34490318298339845,0.23803190773364527
KNearestNeighbors,copper,120,auto,manhattan,27,distance,0.9998660714285714,0.9998660714285714,0.9998660714285714,0.9998660714285714,0.9999999319811488,0.4124803066253662,0.07751401717002729,86.25090169906616,0.48786365622675437
KNearestNeighbors,copper,120,auto,manhattan,30,uniform,,,,,,0.5950163841247559,0.10584547900806919,0.2787189960479736,0.3115701028398813
KNearestNeighbors,copper,120,auto,manhattan,30,distance,0.9998214285714286,0.9998214285714286,0.9998214285714286,0.9998214285714286,0.9999999319811488,0.4321164608001709,0.16264588687803336,89.69065570831299,2.3522026708066313
KNearestNeighbors,copper,120,auto,chebyshev,3,uniform,,,,,,0.523479413986206,0.08699073493207539,0.4832608699798584,0.2871663537933592
KNearestNeighbors,copper,120,auto,chebyshev,3,distance,0.999174107142857,0.999174107142857,0.999174107142857,0.999174107142857,0.9982856415379334,0.3800163269042969,0.07253468696822993,121.69925684928894,0.9047452773587117
KNearestNeighbors,copper,120,auto,chebyshev,6,uniform,,,,,,0.6603630065917969,0.1736163989518243,0.322465705871582,0.26788770402314555
KNearestNeighbors,copper,120,auto,chebyshev,6,distance,0.9991071428571429,0.9991071428571429,0.9991071428571429,0.9991071428571429,0.9993114338328486,0.4840458869934082,0.19154735025795838,126.7551257610321,2.415478167421612
