Model Name,learningRate,downScaleFactor,numEpochs,batchSize,Epoch,D Loss,G Loss,Img ID,Noise
GenerativeAdversarialNetwork,0.0001,32,100,45,46,0.6369072198867798,0.003534872084856,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,47,0.5275599956512451,0.0038909651339054,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,48,0.6029497981071472,0.0020885956473648,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,49,0.5630941390991211,0.0028980514034628,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,50,0.6266623139381409,0.00274917203933,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,51,0.5267366170883179,0.0035908948630094,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,52,0.562239408493042,0.0034575469326227,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,53,0.5729379653930664,0.0034952983260154,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,54,0.5846372842788696,0.002394477603957,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,55,0.5507856607437134,0.0049575217999517,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,56,0.5216988921165466,0.0037466995418071,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,57,0.5835345387458801,0.0023960983380675,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,58,0.5090799927711487,0.0046213283203542,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,59,0.5583253502845764,0.0027089871000498,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,60,0.5985122919082642,0.0034875164274126,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,61,0.5845649242401123,0.0023537650704383,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,62,0.654417872428894,0.0023695470299571,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,63,0.6671164631843567,0.0024794095661491,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,64,0.6314938068389893,0.0022598775103688,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,65,0.6121066808700562,0.0023575655650347,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,66,0.6821557283401489,0.0035452349111437,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,67,0.6952067613601685,0.0015361401019617,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,68,0.6386311650276184,0.00323928729631,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,69,0.6626054048538208,0.0023737007286399,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,70,0.66441810131073,0.0035027482081204,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,71,0.6308197975158691,0.0030931837391108,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,72,0.6283294558525085,0.0030563073232769,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,73,0.647441029548645,0.0024503986351191,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,74,0.6305822134017944,0.0024968397337943,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,75,0.6390316486358643,0.0035903223324567,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,76,0.6625467538833618,0.0019569171126931,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,77,0.6463865637779236,0.0027521622832864,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,78,0.6607476472854614,0.0030863399151712,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,79,0.602036714553833,0.0041038324125111,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,80,0.6450409293174744,0.0026789491530507,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,81,0.627695620059967,0.0042886836454272,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,82,0.6695809364318848,0.0025440221652388,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,83,0.645729660987854,0.0021510438527911,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,84,0.6148907542228699,0.0028389682993292,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,85,0.6732047200202942,0.0027821094263345,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,86,0.6747559309005737,0.0022695886436849,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,87,0.6568769812583923,0.0023529205936938,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,88,0.7065437436103821,0.001188647118397,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,89,0.6562527418136597,0.0017046307912096,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,90,0.5992832779884338,0.002760297851637,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,91,0.6567330956459045,0.0023996864911168,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,92,0.7038419246673584,0.0016426511574536,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,93,0.5921600461006165,0.003299162723124,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,94,0.6461520791053772,0.0015702456003054,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,95,0.6318198442459106,0.0029379928018897,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
