model,material,numSamples,cache_size,degree,kernel,Accuracy,F1,Precision,Recall,mean_fit_time,std_fit_time,mean_score_time,std_score_time
SupportVectorMachine,copper,240,400,4,sigmoid,0.979642857142857,0.979642857142857,0.979642857142857,0.979642857142857,323.4678339958191,7.631412432000539,50.82392120361328,3.313673150764956
SupportVectorMachine,copper,240,400,5,linear,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974999999999999,58.584979104995725,1.949343588248976,5.315665340423584,1.0450987125363915
SupportVectorMachine,copper,240,400,5,poly,0.9993080357142856,0.9993080357142856,0.9993080357142856,0.9993080357142856,43.093746757507326,1.7973039313087236,3.0037277698516847,0.2709669453649685
SupportVectorMachine,copper,240,400,5,rbf,0.9897767857142856,0.9897767857142856,0.9897767857142856,0.9897767857142856,126.56636271476745,1.756982411473574,36.4161256313324,19.118474612852356
SupportVectorMachine,copper,240,400,5,sigmoid,0.979642857142857,0.979642857142857,0.979642857142857,0.979642857142857,321.2466185092926,10.100459540430938,49.698118686676025,2.3805913143491297
SupportVectorMachine,copper,240,600,1,linear,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974999999999999,57.151871871948245,4.485343693947587,4.435262823104859,1.2463916921352043
SupportVectorMachine,copper,240,600,1,poly,0.9856696428571429,0.9856696428571429,0.9856696428571429,0.9856696428571429,171.72204275131224,4.5241592097256085,23.10641384124756,1.4671870455409872
SupportVectorMachine,copper,240,600,1,rbf,0.9897767857142856,0.9897767857142856,0.9897767857142856,0.9897767857142856,126.44510145187378,2.5399212976866736,38.06582794189453,21.14668184510151
SupportVectorMachine,copper,240,600,1,sigmoid,0.979642857142857,0.979642857142857,0.979642857142857,0.979642857142857,320.62765617370604,15.053030827852536,50.76458010673523,2.4961248299416035
SupportVectorMachine,copper,240,600,2,linear,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974999999999999,60.265463495254515,3.1022038417177336,5.0497359275817875,0.49812659135156995
SupportVectorMachine,copper,240,600,2,poly,0.9936830357142856,0.9936830357142856,0.9936830357142856,0.9936830357142856,112.48781843185425,4.0401813460838785,17.73567614555359,0.5647715715064212
SupportVectorMachine,copper,240,600,2,rbf,0.9897767857142856,0.9897767857142856,0.9897767857142856,0.9897767857142856,134.17718262672423,0.7751960462973209,37.33651671409607,19.378341638858863
SupportVectorMachine,copper,240,600,2,sigmoid,0.979642857142857,0.979642857142857,0.979642857142857,0.979642857142857,321.1675479412079,8.536794962455398,48.86792907714844,3.7342370593717726
SupportVectorMachine,copper,240,600,3,linear,0.9974999999999999,0.9974999999999999,0.9974999999999999,0.9974999999999999,56.95975708961487,3.0394194505557106,4.81079363822937,1.0080721087460112
SupportVectorMachine,copper,240,600,3,poly,0.99578125,0.99578125,0.99578125,0.99578125,75.50869746208191,2.431192150221834,9.8975519657135,2.535912999784709
