model,material,numSamples,criterion,max_depth,n_estimators,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
RandomForest,iron,240,entropy,1,901,0.6336927223719677,0.6336927223719677,0.6336927223719677,0.6336927223719677,0.8810308597707038,34.955491590499875,0.24431604316956423,0.888072156906128,0.015268884562812305
RandomForest,iron,240,entropy,101,1,0.9993710691823899,0.9993710691823899,0.9993710691823899,0.9993710691823899,0.9996070460054878,0.37770895957946776,0.030104168613777647,0.24025931358337402,0.024103537171693487
RandomForest,iron,240,entropy,101,101,1.0,1.0,1.0,1.0,1.0,19.035569858551025,0.2842193396854865,0.6399071693420411,0.02502961746512906
RandomForest,iron,240,entropy,101,201,1.0,1.0,1.0,1.0,1.0,36.95384173393249,0.2012564881952822,0.9411146163940429,0.037085470641201684
RandomForest,iron,240,entropy,101,301,1.0,1.0,1.0,1.0,1.0,54.94467821121216,0.32806313966497613,1.3393523216247558,0.060643209251503224
RandomForest,iron,240,entropy,101,401,1.0,1.0,1.0,1.0,1.0,72.94904227256775,0.6799936151839292,1.782912540435791,0.09887940710209833
RandomForest,iron,240,entropy,101,501,1.0,1.0,1.0,1.0,1.0,90.7596348285675,0.5762686759562978,2.104259157180786,0.07071832054401256
RandomForest,iron,240,entropy,101,601,1.0,1.0,1.0,1.0,1.0,108.79154419898987,0.3412214293470926,2.5928367614746093,0.09540005426693164
RandomForest,iron,240,entropy,101,701,1.0,1.0,1.0,1.0,1.0,126.80506644248962,0.3914658719563038,3.0828666210174562,0.11319329434490408
RandomForest,iron,240,entropy,101,801,1.0,1.0,1.0,1.0,1.0,145.04640107154847,0.5235394865680828,3.189529228210449,0.06230400435578242
RandomForest,iron,240,entropy,101,901,1.0,1.0,1.0,1.0,1.0,163.797846698761,1.4748171398309458,3.832039785385132,0.2212214952148122
RandomForest,iron,240,entropy,201,1,0.99958071278826,0.99958071278826,0.99958071278826,0.99958071278826,0.9997376911191346,0.2928611278533936,0.023701165285605987,0.22626643180847167,0.013087332022174401
RandomForest,iron,240,entropy,201,101,1.0,1.0,1.0,1.0,1.0,18.674758529663087,0.44643042900290586,0.6186472415924072,0.01798919262144943
RandomForest,iron,240,entropy,201,201,1.0,1.0,1.0,1.0,1.0,36.81999921798706,0.3158473338753992,0.9724941730499268,0.016796470652097037
RandomForest,iron,240,entropy,201,301,1.0,1.0,1.0,1.0,1.0,54.79896874427796,0.22774283219713384,1.345625925064087,0.05842484236929001
RandomForest,iron,240,entropy,201,401,1.0,1.0,1.0,1.0,1.0,72.88297209739684,0.23401649476743297,1.8084600925445558,0.14859249130466382
RandomForest,iron,240,entropy,201,501,1.0,1.0,1.0,1.0,1.0,91.02739424705506,0.7523258897697028,2.104973793029785,0.06732752164796671
RandomForest,iron,240,entropy,201,601,1.0,1.0,1.0,1.0,1.0,109.38590826988221,0.789198980647087,2.43384051322937,0.07905504378416459
RandomForest,iron,240,entropy,201,701,1.0,1.0,1.0,1.0,1.0,127.13524127006531,0.5710694336789935,3.275700807571411,0.13670398357300814
RandomForest,iron,240,entropy,201,801,1.0,1.0,1.0,1.0,1.0,145.15154767036438,1.230828928381769,3.2794744968414307,0.05623455113258633
RandomForest,iron,240,entropy,201,901,1.0,1.0,1.0,1.0,1.0,163.9240620136261,1.0618614543872107,3.696010875701904,0.10281655459373072
RandomForest,iron,240,entropy,301,1,0.99958071278826,0.99958071278826,0.99958071278826,0.99958071278826,0.9997380065964702,0.3047213077545166,0.031141549582923853,0.2222451686859131,0.007134848873653619
RandomForest,iron,240,entropy,301,101,1.0,1.0,1.0,1.0,1.0,18.373270273208618,0.2596849585360179,0.6124901294708252,0.05215332685230582
RandomForest,iron,240,entropy,301,201,1.0,1.0,1.0,1.0,1.0,36.40506415367126,0.1893983847877099,0.9709980487823486,0.042832687451073444
RandomForest,iron,240,entropy,301,301,1.0,1.0,1.0,1.0,1.0,54.59935369491577,0.4302413767532129,1.3868340492248534,0.02286646302509293
RandomForest,iron,240,entropy,301,401,1.0,1.0,1.0,1.0,1.0,73.51603569984437,0.5297007143553222,1.779953670501709,0.07646490393057215
RandomForest,iron,240,entropy,301,501,1.0,1.0,1.0,1.0,1.0,90.8879852771759,0.3907952871695214,2.135681915283203,0.11270521226353171
