Model Name,learningRate,downScaleFactor,numEpochs,batchSize,Epoch,D Loss,G Loss,Img ID
GenerativeAdversarialNetwork,0.0001,32,100,45,54,0.5846372842788696,0.002394477603957057,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,55,0.5507856607437134,0.004957521799951792,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,56,0.5216988921165466,0.0037466995418071747,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,57,0.5835345387458801,0.0023960983380675316,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,58,0.5090799927711487,0.004621328320354223,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,59,0.5583253502845764,0.0027089871000498533,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,60,0.5985122919082642,0.003487516427412629,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,61,0.5845649242401123,0.002353765070438385,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,62,0.654417872428894,0.0023695470299571753,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,63,0.6671164631843567,0.0024794095661491156,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,64,0.6314938068389893,0.002259877510368824,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,65,0.6121066808700562,0.002357565565034747,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,66,0.6821557283401489,0.0035452349111437798,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,67,0.6952067613601685,0.0015361401019617915,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,68,0.6386311650276184,0.003239287296310067,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,69,0.6626054048538208,0.0023737007286399603,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,70,0.66441810131073,0.0035027482081204653,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,71,0.6308197975158691,0.0030931837391108274,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,72,0.6283294558525085,0.0030563073232769966,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,73,0.647441029548645,0.0024503986351191998,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,74,0.6305822134017944,0.0024968397337943316,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,75,0.6390316486358643,0.003590322332456708,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,76,0.6625467538833618,0.0019569171126931906,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,77,0.6463865637779236,0.0027521622832864523,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,78,0.6607476472854614,0.0030863399151712656,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,79,0.602036714553833,0.00410383241251111,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,80,0.6450409293174744,0.0026789491530507803,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,81,0.627695620059967,0.004288683645427227,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,82,0.6695809364318848,0.0025440221652388573,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,83,0.645729660987854,0.00215104385279119,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,84,0.6148907542228699,0.002838968299329281,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,85,0.6732047200202942,0.0027821094263345003,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,86,0.6747559309005737,0.0022695886436849833,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,87,0.6568769812583923,0.0023529205936938524,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,88,0.7065437436103821,0.001188647118397057,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,89,0.6562527418136597,0.0017046307912096381,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,90,0.5992832779884338,0.002760297851637006,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
